iter	Passed	Remaining
877	7636	1061
878	7646	1052
879	7655	1043
880	7663	1035
881	7671	1026
882	7679	1017
883	7687	1008
884	7696	1000
885	7703	991
886	7712	982
887	7720	973
888	7728	965
889	7737	956
890	7745	947
891	7753	938
892	7762	930
893	7771	921
894	7779	912
895	7787	903
896	7797	895
897	7805	886
898	7813	877
899	7821	869
900	7830	860
901	7838	851
902	7848	843
903	7856	834
904	7864	825
905	7872	816
906	7881	808
907	7889	799
908	7900	790
909	7907	782
910	7916	773
911	7924	764
912	7932	755
913	7940	747
914	7948	738
915	7955	729
916	7963	720
917	7971	712
918	7979	703
919	7989	694
920	7998	686
921	8007	677
922	8015	668
923	8023	659
924	8031	651
925	8039	642
926	8047	633
927	8055	624
928	8063	616
929	8071	607
930	8083	599
931	8094	590
932	8102	581
933	8111	573
934	8119	564
935	8127	555
936	8136	547
937	8144	538
938	8155	529
939	8164	521
940	8173	512
941	8184	503
942	8194	495
943	8203	486
944	8212	477
945	8221	469
946	8229	460
947	8238	451
948	8247	443
949	8256	434
950	8264	425
951	8275	417
952	8284	408
953	8295	399
954	8305	391
955	8313	382
956	8322	373
957	8330	365
958	8338	356
959	8346	347
960	8354	339
961	8362	330
962	8370	321
963	8378	312
964	8386	304
965	8395	295
966	8405	286
967	8412	278
968	8421	269
969	8429	260
970	8438	252
971	8447	243
972	8456	234
973	8464	225
974	8474	217
975	8482	208
976	8491	199
977	8498	191
978	8507	182
979	8515	173
980	8524	165
981	8532	156
982	8541	147
983	8550	139
984	8558	130
985	8568	121
986	8576	112
987	8586	104
988	8595	95
989	8604	86
990	8611	78
991	8621	69
992	8630	60
993	8640	52
994	8651	43
995	8659	34
996	8669	26
997	8677	17
998	8687	8
999	8696	0
